category,title,context,question,group,url,contact,answer
全院共用服務-綜合業務,數位學習專區說明,"中研院數位學習專區內課程包含知識饗宴直播、學術倫理、研究倫理、環境教育、廉政倫理、資通安全、實驗室安全、生物安全、軟體操作、程式設計、數據分析、微學習等數位課程，歡迎同仁前往選讀。

中研院在職同仁且具備SSO帳號者皆可從院內行政服務登入數位學習專區使用，首次登入使用時須綁定我的e政府帳號，詳細設定說明請參考網站https://its.sinica.edu.tw/pages/1674。並可透過院內行政服務之個人學習時數查詢系統即時查詢學習時數。",數位學習專區都提供哪些課程呢？,資訊,https://its.sinica.edu.tw/pages/1674,資訊服務處服務台 02-2789-8855,數位學習專區提供的課程有知識饗宴直播、學術倫理、研究倫理、環境教育、廉政倫理、資通安全、實驗室安全、生物安全、軟體操作、程式設計、數據分析和微學習等，歡迎同仁去選讀喔！
全院共用服務-綜合業務,數位學習專區說明,"中研院數位學習專區內課程包含知識饗宴直播、學術倫理、研究倫理、環境教育、廉政倫理、資通安全、實驗室安全、生物安全、軟體操作、程式設計、數據分析、微學習等數位課程，歡迎同仁前往選讀。

中研院在職同仁且具備SSO帳號者皆可從院內行政服務登入數位學習專區使用，首次登入使用時須綁定我的e政府帳號，詳細設定說明請參考網站https://its.sinica.edu.tw/pages/1674。並可透過院內行政服務之個人學習時數查詢系統即時查詢學習時數。",我怎麼知道我是否具備使用數位學習專區的資格？,資訊,https://its.sinica.edu.tw/pages/1674,資訊服務處服務台 02-2789-8855,嘿，只要你是中研院的在職同仁並且有SSO帳號，就可以使用數位學習專區喔。你可以從院內行政服務登入數位學習專區，首次使用時要記得綁定你的e政府帳號哦。詳細設定方法可以參考這個網站：https://its.sinica.edu.tw/pages/1674。選好課程後，享受學習吧！
全院共用服務-綜合業務,數位學習專區說明,"中研院數位學習專區內課程包含知識饗宴直播、學術倫理、研究倫理、環境教育、廉政倫理、資通安全、實驗室安全、生物安全、軟體操作、程式設計、數據分析、微學習等數位課程，歡迎同仁前往選讀。

中研院在職同仁且具備SSO帳號者皆可從院內行政服務登入數位學習專區使用，首次登入使用時須綁定我的e政府帳號，詳細設定說明請參考網站https://its.sinica.edu.tw/pages/1674。並可透過院內行政服務之個人學習時數查詢系統即時查詢學習時數。",首次登入數位學習專區需要綁定我的e政府帳號，該如何操作呢？,資訊,https://its.sinica.edu.tw/pages/1674,資訊服務處服務台 02-2789-8855,首次登入數位學習專區時，你需要綁定我的e政府帳號。具體操作方法，可以參考這個網站的說明：https://its.sinica.edu.tw/pages/1674。跟著步驟去操作就可以囉！
全院共用服務-綜合業務,數位學習專區說明,"中研院數位學習專區內課程包含知識饗宴直播、學術倫理、研究倫理、環境教育、廉政倫理、資通安全、實驗室安全、生物安全、軟體操作、程式設計、數據分析、微學習等數位課程，歡迎同仁前往選讀。

中研院在職同仁且具備SSO帳號者皆可從院內行政服務登入數位學習專區使用，首次登入使用時須綁定我的e政府帳號，詳細設定說明請參考網站https://its.sinica.edu.tw/pages/1674。並可透過院內行政服務之個人學習時數查詢系統即時查詢學習時數。",我在哪裡可以查詢我的個人學習時數？,資訊,https://its.sinica.edu.tw/pages/1674,資訊服務處服務台 02-2789-8855,你可以在院內行政服務的個人學習時數查詢系統查看你的學習時數喔！
全院共用服務-綜合業務,本院聯合行事?,"中研院聯合行事曆由資訊服務處開發實作，網址為 https://calendar.sinica.edu.tw/。

提供管理平台供中研院內40多個單位共同建置重要活動、會議、研討會等資訊且合併呈現，亦可呈現三組(數理科學組、生命科學組、人文及社會科學組)或院本部的行事曆。",本院聯合行事曆是怎麼網址是多少？,資訊,https://its.sinica.edu.tw/pages/1675,資訊服務處服務台 02-2789-8855,本院聯合行事曆的網址是 https://calendar.sinica.edu.tw/ 喔！
全院共用服務-綜合業務,軟體聯合採購,"有關聯合採購服務，中研院院跨組三個以上單位且金額達100萬元之軟體需求，可請資訊服務處代為辦理聯合採購；全院性授權軟體採購案，不受金額或跨單位條件限制，直接由資訊服務處辦理。聯合採購金額，採使用者付費之原則，由使用單位分攤。

目前資訊服務處協助辦理聯合採購軟體的種類有：SAS、MATLAB 、Gaussian and GaussView、EndNote、微軟教育版軟體大量授權(for Win)、Adobe Acrobat Pro (Win、Mac)、ChemOffice Professional、Adobe Creative Cloud、4MOSAn GCB Doctor 、Webex、Linux/Mac版防毒軟體等。

中研院聯合採購之微軟教育版軟體大量授權等下載，限定各單位資訊室負責採購業務同仁登入下載，故有使用需求請洽詢各單位資訊人員。",我們想進行一次軟體聯合採購，請問至少需要多少個單位一起參加，金額要達到多少呢？,資訊,https://its.sinica.edu.tw/pages/1676,資訊服務處服務台 02-2789-8855,要進行軟體聯合採購的話，最少需要三個單位一起參加，而金額要達到100萬元喔。
全院共用服務-綜合業務,全院授權軟體啟動,"資訊服務處架設之微軟授權產品全院KMS啟動認證伺服器，目前提供全院Windows 10 / 8 / 7 / vista，以及Office 2013/2016/2019等各項產品之啟動認證服務。同仁完成上述大量授權產品之安裝後，請在30天之寬限期內，完成產品之KMS啟動認證。

若將電腦帶離院內環境（即140.109之IP網段），若超過180天之有效期限，則必須將電腦帶回院內啟動，KMS伺服器接受三種不同之啟動方式完成認證（請參考網站https://its.sinica.edu.tw/pages/1677），請同仁擇一使用即可。",全院授權軟體啟動是怎麼運作的呢？,資訊,https://its.sinica.edu.tw/pages/1677,資訊服務處服務台 02-2789-8855,全院授權軟體啟動是透過資訊服務處架設的KMS伺服器來運作的。這個伺服器提供Windows 10 / 8 / 7 / vista以及Office 2013/2016/2019等產品的啟動認證服務。安裝完軟體後，你需要在30天內完成KMS啟動認證。如果你離開140.109網段超過180天，就要把電腦帶回院內啟動。有三種啟動方式可以選擇，可以到https://its.sinica.edu.tw/pages/1677查詢。希望這樣能解答你的疑問。
全院共用服務-綜合業務,全院授權軟體啟動,"資訊服務處架設之微軟授權產品全院KMS啟動認證伺服器，目前提供全院Windows 10 / 8 / 7 / vista，以及Office 2013/2016/2019等各項產品之啟動認證服務。同仁完成上述大量授權產品之安裝後，請在30天之寬限期內，完成產品之KMS啟動認證。

若將電腦帶離院內環境（即140.109之IP網段），若超過180天之有效期限，則必須將電腦帶回院內啟動，KMS伺服器接受三種不同之啟動方式完成認證（請參考網站https://its.sinica.edu.tw/pages/1677），請同仁擇一使用即可。",在哪裡可以找到KMS啟動認證的相關資訊？,資訊,https://its.sinica.edu.tw/pages/1677,資訊服務處服務台 02-2789-8855,你可以在這個網站找到KMS啟動認證的相關資訊喔：https://its.sinica.edu.tw/pages/1677。
全院共用服務-綜合業務,全院授權軟體啟動,"資訊服務處架設之微軟授權產品全院KMS啟動認證伺服器，目前提供全院Windows 10 / 8 / 7 / vista，以及Office 2013/2016/2019等各項產品之啟動認證服務。同仁完成上述大量授權產品之安裝後，請在30天之寬限期內，完成產品之KMS啟動認證。

若將電腦帶離院內環境（即140.109之IP網段），若超過180天之有效期限，則必須將電腦帶回院內啟動，KMS伺服器接受三種不同之啟動方式完成認證（請參考網站https://its.sinica.edu.tw/pages/1677），請同仁擇一使用即可。",如果離開院內環境超過180天，該怎麼重新進行授權認證呢？,資訊,https://its.sinica.edu.tw/pages/1677,資訊服務處服務台 02-2789-8855,如果離開院內環境超過180天，你需要把電腦帶回院內，然後從KMS伺服器上選擇一種啟動方式來重新進行授權認證。你可以參考這個網站https://its.sinica.edu.tw/pages/1677，裡面有三種不同的啟動方式，選擇其中一種使用就可以了。
全院共用服務-綜合業務,個人網頁服務,"資訊服務處提供個人網頁服務，同仁取得gate電子郵件服務帳號後，就同時擁有自己個人網站空間，網頁空間容量為1G。

本服務以靜態網頁方式呈現，主機名稱為idv.sinica.edu.tw，個人網址https://idv.sinica.edu.tw/username，其中 username為您的帳號名稱，與郵件帳號名稱相同；密碼為您的郵件信箱密碼，且自動同步更新。目前無法支援動態網頁。

個人網頁服務提供 SFTP 遠端安全連線協定，傳輸檔案可下載支援安全協定SFTP 的程式例如 winscp 或 filezilla 取代 ftp。製作完成網頁檔案後，上傳至伺服器目錄 public_html ，即可透過個人網址瀏覽，因資安要求，目錄顯示功能預設關閉。可公開檔案才能放在 public_html目錄內。

個人網頁服務每日自動進行電腦病毒掃描作業，如有發現疑似中毒檔案，將主動E-mail通知及自動寄發網頁使用狀態數據分析報告。",我取得gate電子郵件帳號後，我的個人網址會是什麼呢？,資訊,https://its.sinica.edu.tw/pages/1678,資訊服務處服務台 02-2789-8855,嗨！當你拿到gate電子郵件帳號之後，你的個人網址會是https://idv.sinica.edu.tw/username，其中的username就是你的帳號名稱喔，跟你的郵件帳號名稱一樣的。
全院共用服務-綜合業務,AWS雲端服務方案,"為提供AWS（Amazon Web Services, AWS）Educate雲端服務優惠方案，中研院已申請加入該成員機構，提供中研院同仁於申請使用該雲端服務，每年可獲得較多免費額度點數。

AWS Educate方案申請可採2種方式，分別為AWS帳號註冊AWS Educate方案（AWS Account），此方案提供有信用卡之學生、教育工作者於申請成功後，獲得較高免費額度，並且可以使用所有 AWS服務。建議以個人長期使用信箱註冊，當離職或畢業後，仍可收到相關通知信件。
另一種為AWS Starter Account，提供無信用卡之學生、教育工作者便利申請AWS帳號，獲得的免費額度較低，且無法使用某些特定AWS服務。只能使用中研院信箱註冊，當身份離職或畢業於註銷信箱後，將無法收到相關通知信件（建議以AWS Account方式註冊）。

兩種方案的申請流程、AWS包含之服務種類及中研院諮詢專線等資訊請參考網頁說明https://its.sinica.edu.tw/pages/1680。",我該如何選擇適合自己的AWS雲端服務方案呢？,資訊,https://its.sinica.edu.tw/pages/1680,資訊服務處服務台 02-2789-8855,其實選擇適合自己的AWS雲端服務方案主要有兩種方式喔。第一種是用信用卡註冊的「AWS Account」，適合有信用卡的學生或教育工作者，申請成功後可以獲得更高的免費額度，而且可以用所有AWS服務。建議用個人常用信箱註冊，這樣離職或畢業後也還能收到通知。第二種是「AWS Starter Account」，這個適合沒有信用卡的學生和教育工作者，免費額度比較低，而且不能用某些特定AWS服務喔，而且要用中研院信箱註冊。所以根據你的需求和條件，可以選擇適合自己的方案。更多資訊可以參考網頁說明：https://its.sinica.edu.tw/pages/1680。
全院共用服務-綜合業務,網頁空間服務,中研院網頁空間服務提供靜態網頁空間，同時服務網址預設為*.project.sinica.edu.tw。如有靜態網頁服務需求，可至本處網頁的「下載專區」下載「網頁空間服務申請單」，提出網頁空間服務帳號申請，並自行進行網頁上傳。如有動態網站需求，建議可使用自有雲服務。,我需要在哪裡找到「網頁空間服務申請單」來申請帳號呢？,資訊,https://its.sinica.edu.tw/pages/2366,資訊服務處服務台 02-2789-8855,你可以到中研院的網頁裡的「下載專區」找到「網頁空間服務申請單」來申請帳號喔！
全院共用服務-網路資訊,個人雲端儲存服務,中研院個人雲端儲存服務，提供每位同仁20GB雲端儲存空間，以及版本控制功能，可以恢復近10次版本檔案。單一檔案上傳最大2GB，並可在個人電腦安裝代理程式(agent)後，業務檔案可同步備份至雲端儲存平台，強化檔案保全。,這個個人雲端儲存服務是真的可以免費提供20GB空間給我們使用嗎？,資訊,https://its.sinica.edu.tw/pages/1683,資訊服務處服務台 02-2789-8855,對呀！中研院的個人雲端儲存服務真的會免費提供給每位同仁20GB的空間喔！大家可以放心使用。
全院共用服務-網路資訊,個人雲端儲存服務,中研院個人雲端儲存服務，提供每位同仁20GB雲端儲存空間，以及版本控制功能，可以恢復近10次版本檔案。單一檔案上傳最大2GB，並可在個人電腦安裝代理程式(agent)後，業務檔案可同步備份至雲端儲存平台，強化檔案保全。,如果我想恢復之前的檔案版本，最多可以往回找幾次呢？,資訊,https://its.sinica.edu.tw/pages/1683,資訊服務處服務台 02-2789-8855,嘿，你可以往回找近10次的檔案版本喔！
全院共用服務-網路資訊,個人雲端儲存服務,中研院個人雲端儲存服務，提供每位同仁20GB雲端儲存空間，以及版本控制功能，可以恢復近10次版本檔案。單一檔案上傳最大2GB，並可在個人電腦安裝代理程式(agent)後，業務檔案可同步備份至雲端儲存平台，強化檔案保全。,每個檔案上傳的大小上限是2GB，對吧？,資訊,https://its.sinica.edu.tw/pages/1683,資訊服務處服務台 02-2789-8855,對啊，每個檔案上傳的大小限制是2GB喔！
全院共用服務-網路資訊,個人雲端儲存服務,中研院個人雲端儲存服務，提供每位同仁20GB雲端儲存空間，以及版本控制功能，可以恢復近10次版本檔案。單一檔案上傳最大2GB，並可在個人電腦安裝代理程式(agent)後，業務檔案可同步備份至雲端儲存平台，強化檔案保全。,安裝了代理程式後，我的檔案會自動同步備份到雲端儲存平台嗎？,資訊,https://its.sinica.edu.tw/pages/1683,資訊服務處服務台 02-2789-8855,對的，安裝了代理程式後，你的業務檔案就會自動同步備份到雲端儲存平台喔，這樣就能強化檔案的保全了！
全院共用服務-網路資訊,網域名稱服務(DNS),網域名稱服務(DNS)提供中研院同仁的電腦位址(140.109.xxx.yyy)與網域名稱(aaa.bbb.sinica.edu.tw)對應服務。請參考連結下載申請表https://its.sinica.edu.tw/posts/119628#dns；另因部份研究所、中心資訊室有自行管理DNS網域名稱，請先向各個研究所、中心的資訊室查詢確認後，再提出申請。,我要如何申請網域名稱服務(DNS)來對應我的電腦位址呢？,資訊,https://its.sinica.edu.tw/pages/1689,資訊服務處服務台 02-2789-8855,你可以先到這個網址下載申請表喔：https://its.sinica.edu.tw/posts/119628#dns。不過要注意的是，有些研究所和中心的資訊室會自己管理DNS網域名稱，所以建議你最好先跟你的研究所或中心的資訊室確認一下，再進行申請喔！
