category,title,question,group,url,contact,answer
館場,嶺南美術館,嶺南美術館有展出哪些特別的嶺南畫派作品呢？,生活,https://lnfam.sinica.edu.tw,02-2789-9937,嶺南美術館現正展出嶺南畫派近百年來的作品，讓觀眾能夠了解這個畫派的起源和發展歷程。
館場,嶺南美術館,週日和國定假日嶺南美術館都休館嗎？,生活,https://lnfam.sinica.edu.tw,02-2789-9937,是的，週日和國定假日嶺南美術館都會休館喔。
館場,嶺南美術館,嶺南美術館的開館時間週二到週五是12點到下午5點嗎？,生活,https://lnfam.sinica.edu.tw,02-2789-9937,對的，週二到週五開館時間是中午12點到下午5點。
館場,嶺南美術館,週六嶺南美術館是早上10點開館，一直開到下午5點是吧？,生活,https://lnfam.sinica.edu.tw,02-2789-9937,是的，週六嶺南美術館從早上10點開始，一直開到下午5點。
館場,嶺南美術館,如果我想了解嶺南畫派的起源和發展，嶺南美術館是個好去處嗎？,生活,https://lnfam.sinica.edu.tw,02-2789-9937,是的，嶺南美術館正展出嶺南畫派近百年來的作品，你可以透過欣賞這些作品來了解嶺南畫派的起源和發展。
館場,嶺南美術館,嶺南美術館的官方網站我可以在哪裡找到資訊呢？,生活,https://lnfam.sinica.edu.tw,02-2789-9937,你可以在這個網址找到嶺南美術館的資訊：https://lnfam.sinica.edu.tw。
館場,綜合體育館,綜合體育館的開放時間是什麼時候呢？,生活,https://dga.sinica.edu.tw/posts/78849,02-2785-2717#7328,綜合體育館的開放時間是每天早上6點到晚上10點，泳池則是早上6點到晚上9點半。不過要注意，每週一早上6點到中午12點館內休息，另外春節期間也會休館。
館場,綜合體育館,員工可以享受什麼樣的院內優惠價呢？,生活,https://dga.sinica.edu.tw/posts/78849,02-2785-2717#7328,員工在綜合體育館可以享受院內優惠價，具體價格可以參考網址上的收費價目表。
館場,綜合體育館,我該如何使用院內電子信箱註冊帳號自行線上租借場地呢？,生活,https://dga.sinica.edu.tw/posts/78849,02-2785-2717#7328,你可以用院內電子信箱到這個網址 (https://gym.dga.sinica.edu.tw/login.html) 註冊帳號，註冊完之後就可以自行線上租借場地了。
館場,綜合體育館,韻律組康樂會有哪些定期開設的韻律課程？,生活,https://dga.sinica.edu.tw/posts/78849,02-2785-2717#7328,關於韻律組康樂會的定期開設韻律課程，這裡的文字並沒有提供具體的課程名稱，你可以到院內尋求相關訊息。
館場,綜合體育館,室內慢跑道的長度有多少公尺呢？,生活,https://dga.sinica.edu.tw/posts/78849,02-2785-2717#7328,室內慢跑道分為三個圈，內圈長度是138公尺，中圈長度是144公尺，外圈長度是150公尺。
館場,綜合體育館,一般民眾使用綜合體育館需要支付哪些費用呢？,生活,https://dga.sinica.edu.tw/posts/78849,02-2785-2717#7328,一般民眾使用綜合體育館的費用可以參考體育館網頁上的收費價目表，網址是https://dga.sinica.edu.tw/pages/1396。
館場,綜合體育館,進入綜合體育館需要帶什麼證件呢？,生活,https://dga.sinica.edu.tw/posts/78849,02-2785-2717#7328,進入綜合體育館需要帶中央研究院的識別證。
館場,綜合體育館,在綜合體育館哪些地方可以吃東西呢？我們可以攜帶什麼類型的飲料和食品進去呢？,生活,https://dga.sinica.edu.tw/posts/78849,02-2785-2717#7328,在綜合體育館，只有1樓大廳可以吃輕食。不過進去其他設施的時候，就不能帶食物和飲料，只能帶礦泉水和運動飲料。要小心喝哦！
