category,title,question,group,url,contact,answer,,,,,,,,,,,,,,,,,,,
科普活動,院區開放,我要如何查詢活動詳情以及報名相關資訊呢？,生活,None,王小姐 9727,你可以到中研院的官方網站查詢活動內容和報名相關資訊喔。網站還有歷年活動的頁面，可以看到近3年的活動資訊連結。今年的活動日期是112年10月21日，詳細資訊會公布在中研院官網上。,,,,,,,,,,,,,,,,,,,
科普活動,院區開放,有哪個網站可以查看歷年的院區開放活動資訊呢？,生活,None,王小姐 9727,"你可以去中研院的院區開放官方網站查看歷年的院區開放活動資訊，那裡有近3年的活動資訊連結喔。
院區開放官方網站：https://openhouse.sinica.edu.tw/
另外中研院官方YouTube也整理歷年院區開放的精彩演講，彙整成播放清單，供大家回放使用喔。
2022院區開放影片播放清單：https://www.youtube.com/watch?v=eJdAAcVIwC4&list=PLlPkilLR3TiFeWZszudqyNJb3W8tbbroj
2021院區開放影片播放清單：https://www.youtube.com/watch?v=qeeA40t4MJY&list=PLlPkilLR3TiHxdC-G0dx7l5V_l4SeIm5Q",,,,,,,,,,,,,,,,,,,
科普活動,知識饗宴,知識饗宴系列科普演講是每週二晚上舉辦嗎？,生活,None,吳小姐 9726,對的，知識饗宴系列科普演講是在活動月的週二晚上舉辦。,,,,,,,,,,,,,,,,,,,
科普活動,知識饗宴,這個活動會邀請哪些研究領域的專家主講呢？,生活,None,吳小姐 9726,這個活動會邀請中研院內外不同研究領域的專家來主講喔。,,,,,,,,,,,,,,,,,,,
科普活動,知識饗宴,演講內容會上傳到哪個YouTube帳號供大家觀賞？,生活,None,吳小姐 9726,演講內容會上傳到中研院官方的YouTube帳號供大家觀賞。,,,,,,,,,,,,,,,,,,,
科普活動,知識饗宴,如何在中研院官方網站和臉書上找到這個活動的報名資訊呢？,生活,None,吳小姐 9726,要找到這個活動的報名資訊，你可以在活動開始前查看中研院官方網站和官方臉書帳號，報名資料會公佈在那裡。不過要注意喔，活動是採線上報名制，不能用電話或其他方式報名。但活動相關問題可以用電話洽詢。,,,,,,,,,,,,,,,,,,,
科普活動,知識饗宴,活動不接受電話報名，那線上報名要怎麼進行呢？,生活,None,吳小姐 9726,要線上報名，可以在活動前關注中研院的官方網站和官方臉書帳號，報名資料會提前公佈，然後按照指示進行線上報名。活動相關問題可以用電話洽詢。,,,,,,,,,,,,,,,,,,,
科普推廣,研之有物,「研之有物」是什麼？,生活,http://research.sinica.edu.tw/,簡先生 2654,「研之有物」是一個科學傳播平台，隸屬於中央研究院，成立於106年4月，網站創立者是已故的資訊科學家陳昇瑋研究員。該平台由院內編輯團隊共同營運，主要透過清楚易懂的圖文報導介紹中研院的研究人員和研究成果，目前已累積達330篇以上科普文章，出版了兩本實體書籍，也有自己的社群如臉書和IG專頁。未來，「研之有物」將繼續推出更多與中研院研究相關的科普文章，並拓展讀者群。,,,,,,,,,,,,,,,,,,,
科普推廣,研之有物,「研之有物」院內編輯團隊有多少人？,生活,http://research.sinica.edu.tw/,簡先生 2654,「研之有物」的院內編輯團隊一共有3人，依照工作領域區分為科學編輯（負責數理組、生命組文章）、社會及人文編輯（負責人文組文章）、美術編輯（負責攝影、視覺藝術設計）。,,,,,,,,,,,,,,,,,,,
科普推廣,研之有物,「研之有物」發表過多少篇科普文章了呢？,生活,http://research.sinica.edu.tw/,簡先生 2654,「研之有物」目前已累積達330篇以上的科普文章了。,,,,,,,,,,,,,,,,,,,
科普推廣,研之有物,「研之有物」的文章都是誰寫的？,生活,http://research.sinica.edu.tw/,簡先生 2654,「研之有物」的文章初稿，作者可以是院內編輯或是有合作的外稿作者。文章定稿刊出前，都會再經過編輯團隊的詳細調整。,,,,,,,,,,,,,,,,,,,
科普推廣,研之有物,「研之有物」出版過哪些實體書籍？,生活,http://research.sinica.edu.tw/,簡先生 2654,「研之有物」出版過的實體書籍有兩本，第一本是107年出版的《研之有物：穿越古今！中研院的25堂人文公開課》，是人文組的系列書籍。第二本是110年出版的《研之有物：見微知著！中研院的21堂生命科學課》，是生命組的系列書籍。他們預計在113年推出數理組系列書籍。,,,,,,,,,,,,,,,,,,,
科普推廣,研之有物,他們預計什麼時候推出數理組系列書籍呢？,生活,http://research.sinica.edu.tw/,簡先生 2654,他們預計在113年推出數理組系列書籍。,,,,,,,,,,,,,,,,,,,
科普推廣,研之有物,未來「研之有物」有什麼計劃呢？,生活,http://research.sinica.edu.tw/,簡先生 2654,除了預計在113年出版數理組系列書籍之外，未來研之有物將繼續產製與中研院研究相關的科普文章，計畫和不同類型媒體合作，以擴大讀者群，例如：YouTube合作影片、童書繪本等。,,,,,,,,,,,,,,,,,,,
科普推廣,研之有物,中研院「研之有物」臉書專頁的粉絲數大概有多少人？,生活,http://research.sinica.edu.tw/,簡先生 2654,中研院「研之有物」臉書專頁的粉絲數大概有62000人。,,,,,,,,,,,,,,,,,,,
科普推廣,研之有物,他們的 IG 專頁追蹤數大約是多少呢？,生活,http://research.sinica.edu.tw/,簡先生 2654,他們的IG專頁追蹤數大約是13000人。,,,,,,,,,,,,,,,,,,,
科普推廣,社群媒體,哇，中研院的臉書粉絲數已經超過16萬了嗎？,生活,https://www.facebook.com/sinicaedu/,陳先生 8059,對呀，中研院的臉書追蹤數真的已經超過16萬了，而且他們還在其他社群平台上也有很多粉絲和訂閱者喔！,,,,,,,,,,,,,,,,,,,
科普推廣,社群媒體,IG帳號是108年開通的，那現在已經累積了多少追蹤者呢？,生活,https://www.facebook.com/sinicaedu/,陳先生 8059,現在已經累積了大約25300追蹤者，不定期會有新訊息更新，還有和粉絲互動的活動！,,,,,,,,,,,,,,,,,,,
科普推廣,社群媒體,在YouTube平台上，中研院官方影音頻道目前有多少訂閱人數啊？,生活,https://www.facebook.com/sinicaedu/,陳先生 8059,在YouTube平台上，中研院官方影音頻道目前訂閱人數超過80600人。,,,,,,,,,,,,,,,,,,,
科普推廣,社群媒體,至今已經上傳了320部影片，有什麼特別推薦的嗎？,生活,https://www.facebook.com/sinicaedu/,陳先生 8059,目前已經上傳了320部影片，其中包括中研院研究成果和科普演講等，你可以根據自己的興趣去選擇觀看喔！,,,,,,,,,,,,,,,,,,,
藝文活動,藝文活動,每年9月可以申請哪些類別的表演檔期呢？,生活,None,陳小姐 9488,每年9月你可以申請戲劇、舞蹈、音樂、民俗技藝和其他表演類別的表演檔期。,,,,,,,,,,,,,,,,,,,
藝文活動,藝文活動,申請資格包含哪些單位和團體呢？,生活,None,陳小姐 9488,申請資格包括個人表演工作者、演藝團體、文化藝術財團法人、社會團體、藝術工作室、文化事業機構和藝術經紀公司等喔。,,,,,,,,,,,,,,,,,,,
藝文活動,藝文活動,演出場地有哪些選擇？,生活,None,陳小姐 9488,演出場地可以選擇中研院學術活動中心大禮堂或其他合適的表演場地。,,,,,,,,,,,,,,,,,,,
藝文活動,藝文活動,什麼時候可以查看活動的詳細報名資料？,生活,None,陳小姐 9488,詳細報名資料會在活動前公佈在中研院官方網站和官方臉書帳號上。,,,,,,,,,,,,,,,,,,,
藝文活動,藝文活動,如何報名參加藝文活動？,生活,None,陳小姐 9488,要報名參加藝文活動，可以在活動前到中研院官方網站和官方臉書帳號查看詳細報名資料，然後按照指示進行線上報名。需要注意的是，不接受電話或其他方式報名喔。,,,,,,,,,,,,,,,,,,,
